id,carat,cut,color,clarity,depth,table,x,y,z,price
7393,0.52,Ideal,E,VS1,61.2,57.0,5.16,5.2,3.17,1791
8812,1.11,Ideal,G,VVS2,61.7,56.0,6.64,6.69,4.11,9450
9780,1.74,Ideal,H,SI1,61.3,55.0,7.67,7.73,4.74,13824
8561,0.72,Ideal,D,SI2,61.4,56.0,5.8,5.76,3.55,2319
5009,0.57,Ideal,J,VS2,61.9,58.0,5.31,5.33,3.3,1057
5963,2.28,Premium,I,VS2,61.6,56.0,8.49,8.45,5.22,17028
6771,1.19,Premium,E,SI1,62.1,58.0,6.83,6.77,4.2,7414
288,0.3,Ideal,D,SI1,62.3,55.0,4.3,4.28,2.67,709
7635,0.31,Very Good,D,VS2,62.5,56.0,4.33,4.37,2.71,710
8478,0.4,Ideal,G,VS1,62.2,55.0,4.74,4.71,2.94,925
2623,0.47,Fair,G,VVS2,64.8,56.0,4.92,4.87,3.1,1088
6176,0.35,Ideal,H,VS2,61.1,57.0,4.51,4.54,2.76,647
476,1.26,Very Good,G,VVS2,61.1,58.0,6.97,6.93,4.24,9658
7297,1.49,Premium,E,SI2,61.4,59.0,7.35,7.37,4.52,8580
9322,0.44,Ideal,G,VS2,62.0,55.0,4.9,4.87,3.03,1237
6060,0.4,Very Good,I,SI1,62.0,58.0,4.67,4.72,2.91,612
4238,0.38,Premium,G,VVS2,58.9,58.0,4.75,4.71,2.79,1125
7302,0.3,Premium,H,VVS2,62.2,58.0,4.25,4.28,2.65,605
737,0.62,Ideal,H,VS2,61.3,55.0,5.48,5.51,3.37,1641
3370,1.66,Ideal,G,VS2,61.2,57.0,7.62,7.66,4.66,13853
8121,0.52,Ideal,H,VS1,61.8,57.0,5.14,5.19,3.19,1429
6810,0.3,Ideal,D,VVS2,61.7,57.0,4.29,4.32,2.66,814
7091,1.55,Ideal,H,VS2,60.8,56.0,7.52,7.57,4.58,12633
5785,0.9,Premium,I,SI1,62.5,60.0,6.13,6.15,3.84,2947
5079,0.74,Very Good,G,SI2,62.8,57.0,5.73,5.76,3.61,2333
4309,0.32,Premium,E,VS2,61.8,58.0,4.39,4.38,2.71,702
5323,1.11,Premium,E,SI2,60.9,60.0,6.72,6.66,4.08,5818
8214,0.72,Ideal,G,SI1,61.1,57.0,5.77,5.8,3.54,2551
7964,1.13,Premium,F,VS2,61.9,59.0,6.63,6.66,4.12,7900
9178,0.7,Premium,E,VS1,62.0,60.0,5.68,5.65,3.52,2968
1839,0.41,Premium,D,VS2,61.3,58.0,4.78,4.82,2.95,1077
1995,1.5,Premium,I,VS2,62.6,58.0,7.23,7.19,4.52,8530
2399,0.7,Very Good,H,VVS1,61.2,57.0,5.74,5.68,3.49,3381
4417,1.21,Ideal,E,SI1,62.6,56.0,6.77,6.82,4.25,10222
4277,0.9,Good,H,SI1,63.8,55.0,6.12,6.17,3.92,3522
7675,1.08,Ideal,G,VS2,61.4,57.0,6.65,6.61,4.08,6041
3777,0.93,Ideal,G,SI2,60.3,56.0,6.29,6.26,3.79,3172
800,0.9,Good,G,SI1,63.5,58.0,6.05,6.1,3.86,3117
8986,0.53,Ideal,E,SI1,61.9,53.0,5.25,5.23,3.24,1579
8568,0.51,Premium,E,SI1,62.7,58.0,5.07,5.15,3.2,1599
1405,0.4,Ideal,D,VS2,61.2,56.0,4.68,4.72,2.87,1125
5648,1.02,Ideal,F,VVS2,61.8,55.0,6.46,6.49,4.0,9702
69,0.32,Ideal,E,SI1,61.5,57.0,4.41,4.4,2.71,720
5953,0.5,Ideal,F,SI1,62.0,57.0,5.11,5.04,3.14,1421
2759,0.9,Premium,G,SI2,62.0,61.0,6.11,6.14,3.8,3584
3520,1.5,Fair,D,SI1,64.9,57.0,7.13,7.06,4.62,8012
4301,0.47,Ideal,E,SI1,62.3,55.0,4.98,5.0,3.13,1090
1586,0.4,Premium,G,VVS2,61.9,59.0,4.68,4.74,2.92,1050
4420,0.3,Ideal,G,VVS2,62.6,57.0,4.27,4.24,2.67,691
6866,0.7,Ideal,I,VS1,61.8,56.0,5.67,5.71,3.51,2376
1074,0.56,Ideal,F,VS2,62.1,54.0,5.27,5.32,3.29,1836
5840,0.3,Premium,E,VS2,61.6,60.0,4.27,4.3,2.64,658
4985,0.61,Ideal,D,VS2,61.2,56.0,5.51,5.56,3.38,2152
3891,0.59,Ideal,D,SI1,61.2,57.0,5.4,5.43,3.31,1773
9239,0.9,Very Good,F,SI1,63.0,57.0,6.08,6.14,3.86,4064
2603,0.42,Ideal,F,SI1,61.9,55.0,4.83,4.82,2.98,693
6367,0.9,Very Good,F,SI1,60.7,61.0,6.14,6.18,3.76,4084
1579,0.34,Ideal,E,SI1,62.1,56.0,4.48,4.46,2.77,798
7293,0.31,Ideal,G,VVS2,60.8,56.0,4.38,4.4,2.67,687
6711,0.32,Ideal,F,SI1,61.6,56.0,4.4,4.43,2.72,660
3815,0.3,Very Good,E,VVS2,62.3,56.0,4.26,4.28,2.66,731
409,2.0,Very Good,H,SI1,63.4,59.0,8.01,7.93,5.05,15874
3428,1.0,Fair,F,SI2,65.3,66.0,6.25,6.2,4.04,4232
5740,0.37,Ideal,E,VS1,61.6,55.0,4.65,4.61,2.86,1124
5825,0.32,Ideal,D,VS2,61.4,57.0,4.41,4.42,2.71,972
6850,0.36,Ideal,D,VS2,61.3,56.0,4.56,4.57,2.8,1110
6903,0.31,Ideal,G,SI1,62.6,53.0,4.34,4.38,2.73,563
3091,0.74,Very Good,E,VS1,59.7,61.0,5.91,5.85,3.51,2993
2726,0.5,Ideal,G,VS1,61.9,55.0,5.11,5.14,3.17,1754
477,1.25,Premium,G,VS1,60.6,58.0,7.03,6.95,4.23,9355
1329,0.41,Premium,E,SI1,61.5,60.0,4.72,4.69,2.9,969
2283,0.31,Ideal,G,IF,62.7,56.0,4.37,4.31,2.72,959
9819,1.5,Premium,I,VS1,63.0,58.0,7.39,7.24,4.62,10576
5762,1.01,Ideal,D,SI2,60.4,57.0,6.51,6.54,3.94,4977
1777,0.7,Ideal,D,SI1,61.2,57.0,5.72,5.76,3.5,2975
6338,1.09,Premium,G,SI2,60.9,58.0,6.63,6.58,4.03,4578
751,1.01,Premium,I,SI1,61.6,56.0,6.5,6.46,3.99,4404
7306,0.38,Ideal,E,VVS2,61.0,57.0,4.7,4.67,2.86,988
4230,0.55,Premium,D,SI2,60.0,58.0,5.33,5.35,3.2,1186
7423,0.37,Ideal,E,SI1,61.8,56.0,4.6,4.65,2.86,743
6271,0.25,Very Good,E,VVS2,61.4,62.0,4.02,4.07,2.47,505
8275,0.51,Ideal,E,SI1,61.1,55.0,5.21,5.19,3.17,1778
3912,2.07,Ideal,G,SI2,62.5,56.0,8.12,8.16,5.08,13508
8165,0.3,Very Good,D,VVS2,63.1,58.0,4.25,4.22,2.66,821
5400,2.02,Ideal,H,SI2,62.4,56.0,8.01,8.06,5.03,15371
5356,0.3,Ideal,G,SI1,62.3,55.0,4.32,4.35,2.7,432
468,1.06,Ideal,G,SI1,61.9,56.0,6.57,6.54,4.06,5292
1545,1.2,Ideal,H,SI1,61.5,56.0,6.86,6.81,4.2,5758
6562,0.52,Ideal,G,VVS2,61.5,56.0,5.18,5.21,3.19,1919
2683,0.41,Premium,D,SI2,62.4,59.0,4.77,4.74,2.96,876
7463,0.3,Ideal,H,SI1,62.2,53.0,4.28,4.3,2.66,453
6428,0.31,Good,E,SI1,62.8,57.0,4.29,4.33,2.71,628
1025,0.9,Fair,D,SI1,65.2,57.0,6.04,6.1,4.01,3373
9529,0.73,Ideal,F,VVS2,60.4,56.0,5.85,5.89,3.54,3813
9510,0.54,Ideal,G,SI1,59.6,57.0,5.25,5.29,3.16,1446
6719,0.37,Very Good,G,VS1,60.3,61.0,4.62,4.65,2.79,737
2354,1.05,Ideal,H,SI1,61.8,54.0,6.5,6.56,4.04,5291
5314,1.35,Premium,H,VVS2,62.7,59.0,7.03,6.95,4.39,9188
5381,1.3,Very Good,G,VS1,61.2,59.0,6.97,7.03,4.28,8446
773,0.52,Ideal,F,SI1,60.7,56.4,5.2,5.23,3.17,1391
8900,0.6,Ideal,G,VVS2,62.0,56.0,5.41,5.44,3.36,2302
8975,1.32,Premium,G,VS2,61.4,58.0,7.03,6.97,4.3,9804
6351,1.01,Very Good,E,SI2,62.5,59.0,6.34,6.37,3.97,4361
7947,0.33,Ideal,H,VS1,61.1,57.0,4.45,4.48,2.73,666
641,0.41,Very Good,F,VS1,62.8,57.0,4.69,4.72,2.96,1007
5375,1.04,Ideal,G,VS2,61.8,56.0,6.5,6.55,4.03,6587
4100,0.31,Very Good,H,VS1,61.8,59.0,4.33,4.35,2.68,668
7844,0.53,Ideal,H,SI1,62.8,56.0,5.14,5.18,3.24,1270
5623,0.51,Ideal,G,VVS2,61.9,56.0,5.13,5.16,3.18,1857
7328,0.56,Ideal,D,SI1,62.6,55.0,5.22,5.24,3.29,1698
8689,0.3,Very Good,G,VS2,62.9,59.0,4.22,4.25,2.66,477
1108,1.5,Premium,D,I1,61.5,62.0,7.39,7.28,4.5,6300
3794,0.23,Very Good,F,VVS2,65.0,56.0,3.89,3.92,2.53,465
7690,0.3,Premium,E,VS2,61.5,60.0,4.29,4.33,2.65,658
1420,0.33,Very Good,H,SI1,62.5,59.0,4.41,4.39,2.75,539
5264,1.11,Ideal,H,SI1,62.3,55.0,6.65,6.67,4.15,5236
4137,2.01,Ideal,I,VS2,62.0,56.0,8.09,8.13,5.04,15825
7787,1.01,Premium,H,SI2,62.6,59.0,6.4,6.34,3.99,4242
5434,1.17,Good,H,SI2,63.7,58.0,6.72,6.68,4.27,4764
5135,0.42,Premium,G,SI1,59.8,62.0,4.88,4.84,2.94,882
5718,1.21,Premium,J,SI1,61.7,57.0,6.83,6.77,4.19,5331
8111,0.5,Very Good,E,SI2,62.9,58.0,5.05,5.08,3.18,1154
1680,0.31,Premium,G,SI2,61.5,58.0,4.34,4.35,2.67,523
6976,0.41,Very Good,G,SI1,63.0,58.0,4.72,4.75,2.99,772
633,0.7,Premium,E,SI1,62.4,58.0,5.67,5.63,3.53,2038
2569,0.9,Ideal,H,VS1,61.8,57.0,6.17,6.23,3.83,4136
6203,0.32,Ideal,G,VVS1,61.2,55.0,4.4,4.43,2.7,814
5967,1.2,Ideal,H,VS1,60.5,57.0,6.87,6.82,4.14,7137
2166,0.34,Premium,H,VS2,60.3,60.0,4.56,4.53,2.74,689
363,0.54,Ideal,H,SI1,62.3,54.0,5.23,5.28,3.27,1362
7030,1.31,Ideal,G,VS1,61.3,57.0,7.08,7.02,4.32,10996
2825,0.7,Ideal,F,SI1,61.5,57.0,5.69,5.74,3.52,2709
5786,1.51,Ideal,J,VVS1,61.0,56.0,7.38,7.43,4.51,11503
8132,1.52,Ideal,G,SI1,61.8,57.0,7.39,7.35,4.55,12161
9848,1.01,Ideal,E,SI1,62.1,55.0,6.39,6.43,3.98,5262
7458,0.52,Premium,H,VS2,61.2,59.0,5.18,5.14,3.16,1238
3782,0.8,Ideal,D,SI1,61.0,57.0,5.99,6.03,3.65,3160
8003,1.5,Very Good,I,SI1,63.0,58.0,7.19,7.24,4.55,7999
7529,0.38,Premium,H,VS1,61.8,58.0,4.66,4.63,2.87,1037
9475,1.51,Premium,D,SI1,60.6,58.0,7.47,7.36,4.49,12720
1172,0.33,Ideal,G,VS1,61.3,55.0,4.48,4.45,2.74,729
7445,0.7,Good,E,VVS2,61.4,61.0,5.65,5.72,3.48,3437
9159,2.02,Ideal,G,SI2,62.1,59.0,8.06,8.1,5.0,18515
9703,0.52,Very Good,E,VS2,62.5,56.0,5.13,5.16,3.21,1699
2576,0.3,Ideal,G,VS2,61.6,56.0,4.34,4.3,2.66,675
1989,1.08,Ideal,D,SI1,62.6,56.0,6.57,6.5,4.09,5777
7243,1.23,Ideal,H,IF,62.2,56.0,6.81,6.88,4.26,7789
8699,0.71,Good,E,SI1,61.1,62.0,5.68,5.72,3.48,2674
4704,1.05,Very Good,H,SI1,62.8,58.0,6.44,6.48,4.06,4665
6946,1.52,Premium,F,SI1,62.1,59.0,7.35,7.31,4.55,11480
9942,0.35,Ideal,G,VS2,62.6,56.0,4.5,4.46,2.8,749
2628,1.04,Ideal,E,VS2,61.6,57.0,6.51,6.47,4.0,6776
8102,0.7,Fair,G,VS1,66.1,56.0,5.53,5.47,3.63,2188
1410,1.51,Premium,E,SI2,62.9,58.0,7.27,7.22,4.55,9411
9661,1.16,Ideal,D,VS2,61.1,55.0,6.77,6.83,4.16,11116
8952,2.05,Premium,I,SI1,62.7,58.0,8.03,8.07,5.05,15291
4466,1.02,Ideal,E,SI2,60.2,57.0,6.53,6.57,3.94,4573
6593,1.07,Ideal,E,VS1,61.4,57.0,6.55,6.6,4.04,10009
7013,1.27,Ideal,G,VS2,62.3,57.0,6.91,6.96,4.32,8602
6814,0.38,Ideal,G,VS2,61.9,56.0,4.64,4.67,2.88,827
815,1.01,Premium,G,SI1,62.7,58.0,6.39,6.31,3.98,4719
2404,0.31,Ideal,D,VS2,62.7,57.0,4.36,4.33,2.72,942
5614,0.59,Ideal,G,VVS2,62.0,55.0,5.36,5.39,3.33,2029
10137,1.22,Premium,D,SI2,62.8,57.0,6.88,6.82,4.29,6505
4028,0.57,Very Good,D,SI1,62.2,58.0,5.32,5.34,3.3,1662
2131,0.31,Premium,F,VS2,61.5,59.0,4.35,4.37,2.68,625
1797,0.5,Premium,D,VS2,61.0,59.0,5.13,5.1,3.12,1845
3090,0.9,Premium,F,SI2,61.3,55.0,6.23,6.27,3.83,3238
6851,0.33,Ideal,H,VS2,62.3,57.0,4.41,4.45,2.76,517
4738,0.55,Ideal,E,VS2,62.4,55.0,5.25,5.29,3.29,1755
3122,0.9,Ideal,H,SI1,62.3,56.0,6.14,6.18,3.85,3787
5229,0.36,Ideal,F,VS2,61.3,56.0,4.57,4.61,2.82,752
4381,1.61,Ideal,G,VS2,62.1,56.0,7.48,7.52,4.66,13578
122,1.52,Premium,G,VS1,61.7,58.0,7.36,7.38,4.55,13324
179,0.7,Very Good,F,SI1,62.8,58.0,5.64,5.67,3.55,2688
9422,1.13,Good,F,VS2,58.8,58.0,6.74,6.78,3.97,6925
5746,1.57,Very Good,H,VS2,59.4,59.0,7.59,7.67,4.52,12112
4695,2.02,Very Good,I,VS2,62.5,59.0,8.06,7.99,5.02,16422
4075,0.7,Ideal,I,VS1,61.9,55.0,5.72,5.74,3.54,2441
7846,0.71,Good,D,VVS2,57.1,61.0,5.89,5.94,3.38,3312
1157,2.01,Premium,G,SI2,62.1,58.0,8.05,7.97,4.98,16857
237,1.2,Ideal,G,VS1,61.9,56.0,6.84,6.81,4.23,8381
1532,1.2,Fair,H,SI1,65.2,55.0,6.65,6.59,4.32,5869
9449,1.29,Ideal,I,SI2,62.6,57.0,6.91,6.94,4.34,5584
6554,0.9,Very Good,I,SI2,63.1,59.0,6.11,6.09,3.86,2895
9281,0.9,Very Good,H,VS2,62.1,59.0,6.14,6.2,3.83,4159
1535,1.5,Ideal,D,SI1,61.5,56.0,7.31,7.34,4.5,14112
8745,0.7,Premium,H,SI2,62.9,59.0,5.61,5.65,3.54,1813
10055,1.01,Very Good,E,SI2,60.3,58.0,6.49,6.52,3.92,4155
4004,0.52,Ideal,E,VVS1,61.6,57.0,5.2,5.23,3.21,2676
2605,0.35,Ideal,F,VS2,61.8,55.0,4.52,4.54,2.8,906
3949,0.57,Ideal,E,VS2,62.1,55.0,5.34,5.38,3.33,1666
8856,0.32,Ideal,E,VS1,61.6,55.0,4.39,4.42,2.72,825
7741,1.0,Good,D,VS2,64.2,57.0,6.25,6.29,4.04,6848
2177,1.7,Premium,H,VS2,61.8,59.0,7.61,7.54,4.69,13134
8246,1.5,Premium,I,SI2,61.4,54.0,7.37,7.32,4.5,6727
2351,0.53,Ideal,G,VS1,61.1,57.0,5.24,5.28,3.2,1858
3325,0.55,Ideal,F,VS1,61.1,57.0,5.29,5.26,3.22,1793
8358,1.0,Very Good,E,SI1,58.6,63.0,6.51,6.58,3.85,5250
8943,0.71,Ideal,D,SI1,62.4,58.0,5.67,5.72,3.55,2612
3767,1.03,Ideal,H,VS2,61.9,56.0,6.54,6.49,4.03,5260
2134,0.7,Ideal,E,SI1,61.4,57.0,5.75,5.73,3.52,2878
1480,2.0,Premium,I,VS2,60.3,59.0,8.14,8.08,4.91,16547
2793,0.5,Very Good,G,VVS1,62.0,56.0,5.08,5.12,3.16,1966
5035,1.52,Ideal,I,VS2,62.1,58.0,7.35,7.4,4.58,9276
9959,0.71,Very Good,F,VS1,61.1,56.0,5.71,5.75,3.5,2789
10115,0.52,Ideal,H,IF,61.6,53.0,5.21,5.24,3.23,2720
4803,0.82,Ideal,F,VS1,61.9,57.0,5.97,6.04,3.72,4221
3497,0.76,Premium,H,SI1,59.8,61.0,6.19,6.13,3.52,2746
6282,0.32,Ideal,E,VVS1,61.7,56.0,4.43,4.4,2.72,956
8191,1.07,Very Good,F,VS2,62.4,55.0,6.53,6.57,4.08,7506
7078,0.33,Premium,G,VVS2,59.1,58.0,4.55,4.51,2.68,965
4007,0.3,Premium,H,VS1,61.9,58.0,4.28,4.34,2.66,628
9090,1.1,Ideal,I,SI1,61.7,55.0,6.61,6.65,4.09,5220
3894,1.75,Very Good,H,SI2,63.5,60.0,7.65,7.56,4.83,10255
1952,1.27,Ideal,J,VS2,62.6,55.0,6.92,6.87,4.32,7334
555,0.5,Ideal,H,SI1,62.0,55.0,5.1,5.13,3.17,1111
9398,0.33,Ideal,D,VS2,62.7,57.0,4.41,4.41,2.77,874
1163,2.31,Ideal,H,SI2,62.8,57.0,8.43,8.35,5.3,13597
1584,1.2,Premium,I,VS2,62.5,57.6,6.8,6.77,4.24,5001
5171,0.34,Premium,G,VS2,61.0,58.0,4.51,4.49,2.74,596
10161,0.3,Very Good,I,SI1,63.3,58.0,4.22,4.2,2.66,554
6323,0.56,Premium,E,SI2,58.3,59.0,5.38,5.46,3.18,1109
6069,1.12,Ideal,H,SI2,62.0,55.0,6.68,6.7,4.13,5167
9048,0.31,Premium,H,VS1,62.4,59.0,4.31,4.34,2.7,698
6407,0.24,Very Good,F,VS1,62.2,59.0,3.97,4.0,2.48,430
1459,0.3,Ideal,G,VS2,62.3,53.0,4.27,4.31,2.68,545
